circRNA	Alias	chrom	strand	txStart	txEnd	Clone9_FC	Clone9_pvalue	Clone9_FDR
hsa_circRNA_001233	hsa_circ_0000463	chr12	-	132609079	132609271	3.96798301519022	0.00880888180421868	0.473751592106166
hsa_circRNA_100604	hsa_circ_0009172	chr10	-	70218860	70229920	2.18998093436283	0.0221440067011374	0.473751592106166
hsa_circRNA_045697	hsa_circ_0045697	chr17	-	73736438	73753899	4.67675357810085	0.029734766313082	0.473751592106166
hsa_circRNA_101536	hsa_circ_0035482	chr15	-	59376327	59377984	2.3134751750187	0.0153298221365423	0.473751592106166
hsa_circRNA_003550	hsa_circ_0003550	chr4	-	10099334	10105610	2.77648268204712	0.00808958971216437	0.473751592106166
hsa_circRNA_057948	hsa_circ_0057948	chr2	-	208420351	208425096	2.5017777897487	0.00983249581081942	0.473751592106166
hsa_circRNA_100629	hsa_circ_0005164	chr10	-	76598440	76603236	2.64725146007177	0.0385789559783509	0.473751592106166
hsa_circRNA_404646	hsa_circRNA_404646	chr1	-	208315673	208391347	2.18005087146123	0.0177330450442006	0.473751592106166
hsa_circRNA_047641	hsa_circ_0047641	chr18	-	46783379	46798673	2.91401867123696	0.0190196248857971	0.473751592106166
hsa_circRNA_407059	hsa_circRNA_407059	chr8	-	38287206	38287466	3.23471158580063	0.00181496062610305	0.42138840059805
hsa_circRNA_404959	hsa_circRNA_404959	chr12	-	7301567	7303659	2.4493465264681	0.00801999745846638	0.473751592106166
hsa_circRNA_062980	hsa_circ_0062980	chr22	-	32871223	32881196	2.27354192260396	0.0227756229461726	0.473751592106166
hsa_circRNA_104598	hsa_circ_0002754	chr8	-	41905895	41907225	2.32859224827777	0.0493304635770279	0.473776628121422
hsa_circRNA_101998	hsa_circ_0042435	chr17	-	20149238	20209395	2.76302139857912	0.013634681418728	0.473751592106166
hsa_circRNA_405551	hsa_circRNA_405551	chr17	-	19823348	19839743	2.02834089883814	0.0277585078654756	0.473751592106166
hsa_circRNA_066536	hsa_circ_0066536	chr3	-	71739160	71759635	2.10880115310543	0.0323967293824552	0.473751592106166
hsa_circRNA_002761	hsa_circ_0002761	chr3	-	185407142	185407415	2.37934858764498	0.0398696454413646	0.473751592106166
hsa_circRNA_001359	hsa_circ_0000157	chr1	-	169663839	169664181	2.19132877401081	0.0326830680134724	0.473751592106166
hsa_circRNA_103664	hsa_circ_0003534	chr4	-	76902524	76903190	2.29171288693211	0.0154593094643287	0.473751592106166
hsa_circRNA_400059	hsa_circ_0092289	chr20	-	17595565	17595865	2.75403369823404	0.0348432727964022	0.473751592106166
hsa_circRNA_001676	hsa_circ_0000423	chr12	-	80180153	80183460	3.08982877200035	0.00768487436046417	0.473751592106166
hsa_circRNA_101707	hsa_circ_0000673	chr16	-	11940357	11940700	3.45810788793019	0.00543730883858713	0.473751592106166
hsa_circRNA_104158	hsa_circ_0007217	chr6	-	100895143	100901720	2.57011277369857	0.0239275814213214	0.473751592106166
hsa_circRNA_104595	hsa_circ_0008016	chr8	-	38287199	38287466	2.13824578485372	0.031606597631383	0.473751592106166
hsa_circRNA_026462	hsa_circ_0026462	chr12	-	53068519	53069224	3.52054600687535	0.0254445343266695	0.473751592106166
hsa_circRNA_101179	hsa_circ_0028912	chr12	-	121004627	121009094	2.12234507241289	0.0332945631127068	0.473751592106166
hsa_circRNA_005086	hsa_circ_0005086	chr12	-	121002874	121004783	2.45242620807549	0.0331117323856425	0.473751592106166
