circRNA	Alias	chrom	strand	txStart	txEnd	Clone9_FC	Clone9_pvalue	Clone9_FDR
hsa_circRNA_092547	hsa_circ_0001445	chr4	-	144464661	144465125	-2.01254366189896	0.0482889225014702	0.473751592106166
hsa_circRNA_102469	hsa_circ_0008432	chr19	-	16192722	16197350	-2.29352189218086	0.00328726002306651	0.473751592106166
hsa_circRNA_087856	hsa_circ_0087856	chr9	-	110062421	110084399	-2.58329876306251	0.0277752161319398	0.473751592106166
hsa_circRNA_068465	hsa_circ_0068465	chr3	-	186504915	186505671	-2.39970009035011	0.0114045230590247	0.473751592106166
hsa_circRNA_103514	hsa_circ_0006156	chr3	-	171965322	171969331	-2.44193560227854	0.0222905952333983	0.473751592106166
hsa_circRNA_104852	hsa_circ_0006174	chr9	-	110064315	110068928	-2.62642198600734	0.0379114546390369	0.473751592106166
hsa_circRNA_004390	hsa_circ_0004390	chr1	-	85331067	85331821	-2.33729100055579	0.00115100469927091	0.35094852658707
hsa_circRNA_101859	hsa_circ_0040188	chr16	-	70292882	70296427	-2.07177816953814	0.0204113674111259	0.473751592106166
hsa_circRNA_013058	hsa_circ_0013058	chr1	-	85331067	85331842	-2.16991608473558	0.0115092978709461	0.473751592106166
hsa_circRNA_403236	hsa_circRNA_403236	chr4	-	146767107	146824367	-2.1734505138102	0.0145466433107481	0.473751592106166
hsa_circRNA_100976	hsa_circ_0002955	chr11	-	120346048	120348235	-2.12741698467609	0.0302573047447728	0.473751592106166
hsa_circRNA_403250	hsa_circRNA_403250	chr4	-	152487289	152510078	-2.06614057756067	0.001411424835497	0.396975341799932
hsa_circRNA_403876	hsa_circRNA_403876	chr7	-	99001020	99002576	-3.45362274827365	0.0470530161690582	0.473751592106166
hsa_circRNA_100833	hsa_circ_0022383	chr11	-	61605249	61615756	-6.11009059978246	0.0244256151741642	0.473751592106166
hsa_circRNA_405965	hsa_circRNA_405965	chr2	-	135625089	135626611	-2.66060203236071	0.0222217021289975	0.473751592106166
hsa_circRNA_000274	hsa_circ_0000919	chr19	-	19760861	19761115	-2.10940529939357	0.0285336308996849	0.473751592106166
hsa_circRNA_102468	hsa_circ_0002259	chr19	-	16192722	16192856	-2.50239564674963	0.00530454815457576	0.473751592106166
hsa_circRNA_104854	hsa_circ_0087862	chr9	-	110068659	110081160	-2.30388294507234	0.023872023680745	0.473751592106166
hsa_circRNA_102399	hsa_circ_0004891	chr19	-	1032390	1032695	-2.12973731315411	0.0482283398233694	0.473751592106166
hsa_circRNA_000458	hsa_circ_0000458	chr12	-	124071293	124074996	-2.02323670360914	0.031963732463892	0.473751592106166
hsa_circRNA_089762	hsa_circ_0089762	chrM	-	7586	7982	-2.51212241838622	0.041447129496285	0.473751592106166
hsa_circRNA_407092	hsa_circRNA_407092	chr8	-	89198704	89209535	-3.06686791694138	0.0107381991235913	0.473751592106166
hsa_circRNA_030162	hsa_circ_0030162	chr13	-	45911303	45914319	-2.02890901373546	0.0118986862113352	0.473751592106166
hsa_circRNA_102433	hsa_circ_0006382	chr19	-	8520288	8528570	-2.34468546448475	0.0436314755857892	0.473751592106166
hsa_circRNA_104743	hsa_circ_0086490	chr9	-	20360739	20365742	-2.43446887834915	0.0464698850072419	0.473751592106166
hsa_circRNA_075320	hsa_circ_0075320	chr5	-	179249957	179260782	-2.35307522086692	0.0206280236874784	0.473751592106166
hsa_circRNA_101860	hsa_circ_0003438	chr16	-	70294946	70296427	-2.10921178096434	0.0251663238851559	0.473751592106166
hsa_circRNA_104577	hsa_circ_0003885	chr8	-	28570973	28575724	-3.45291786493412	0.00335447246290479	0.473751592106166
hsa_circRNA_000120	hsa_circ_0000120	chr1	-	117944807	118009049	-2.68159045880806	0.0378889085233046	0.473751592106166
hsa_circRNA_402002	hsa_circRNA_402002	chr19	-	1270926	1274439	-2.07761514953829	0.00259699014809626	0.436876428878883
hsa_circRNA_104875	hsa_circ_0088059	chr9	-	114905750	114905903	-2.47529344004201	0.0281276110468314	0.473751592106166
hsa_circRNA_061346	hsa_circ_0061346	chr21	-	27372329	27425664	-2.702560795198	0.0231251745032965	0.473751592106166
hsa_circRNA_077007	hsa_circ_0077007	chr6	-	74229605	74230755	-2.42300419069913	0.0369356762641463	0.473751592106166
hsa_circRNA_001691	hsa_circ_0001691	chr7	-	26233194	26236101	-3.49661678779155	0.0359509756725183	0.473751592106166
hsa_circRNA_402510	hsa_circRNA_402510	chr2	-	242283166	242287606	-2.41186298586333	0.0289797677607154	0.473751592106166
hsa_circRNA_008389	hsa_circ_0008389	chr1	-	6727768	6741097	-2.87269024288741	0.00419414753139521	0.473751592106166
hsa_circRNA_000102	hsa_circ_0000102	chr1	-	109479800	109479932	-2.1942934181457	0.0191600338632257	0.473751592106166
hsa_circRNA_104853	hsa_circ_0087861	chr9	-	110068659	110074018	-2.13581912287373	0.0414810481700415	0.473751592106166
hsa_circRNA_007148	hsa_circ_0007148	chr3	-	171851260	171969331	-2.48215974668164	0.0208337493090771	0.473751592106166
hsa_circRNA_104259	hsa_circ_0078607	chr6	-	160819010	160831878	-5.84903174429344	0.0113071618883494	0.473751592106166
hsa_circRNA_101307	hsa_circ_0008539	chr13	-	114164552	114175048	-2.33104597518475	0.0174593244154027	0.473751592106166
hsa_circRNA_101308	hsa_circ_0031027	chr13	-	114164552	114193822	-2.32675150755176	0.0105661644889348	0.473751592106166
hsa_circRNA_101099	hsa_circ_0000417	chr12	-	69644908	69656342	-2.94631170020691	0.0156795612272545	0.473751592106166
hsa_circRNA_000543	hsa_circ_0000326	chr11	-	65272490	65272586	-6.38570426366012	0.035029959112203	0.473751592106166
hsa_circRNA_000178	hsa_circ_0000549	chr14	-	70236227	70236759	-2.23856574127045	0.0100696862605662	0.473751592106166
hsa_circRNA_071210	hsa_circ_0071210	chr4	-	151749331	151753128	-2.28962344714585	0.0262248857425314	0.473751592106166
hsa_circRNA_001547	hsa_circ_0001874	chr9	-	95500310	95500614	-2.45575730964457	0.0353704326035851	0.473751592106166
hsa_circRNA_103758	hsa_circ_0071196	chr4	-	151727422	151729550	-2.68500914444938	0.0192879644006346	0.473751592106166
hsa_circRNA_102939	hsa_circ_0003273	chr2	-	230723487	230744844	-2.08639540835468	0.0250727619983114	0.473751592106166
hsa_circRNA_103044	hsa_circ_0004870	chr20	-	34302106	34313077	-2.02574884125288	0.0154139976747952	0.473751592106166
hsa_circRNA_034642	hsa_circ_0034642	chr15	-	41191341	41196173	-2.31494549520097	0.0118069789570423	0.473751592106166
hsa_circRNA_405872	hsa_circRNA_405872	chr2	-	46067518	46070202	-2.34220407623916	0.0306625760867189	0.473751592106166
hsa_circRNA_061260	hsa_circ_0061260	chr21	-	11047480	11049621	-2.40096867592262	0.0118472810161721	0.473751592106166
hsa_circRNA_103181	hsa_circ_0062603	chr22	-	24698162	24765288	-2.08502611899128	0.0306108216569192	0.473751592106166
hsa_circRNA_001653	hsa_circ_0001568	chr6	-	349113	349256	-2.5071755682777	0.0425670302002406	0.473751592106166
hsa_circRNA_005855	hsa_circ_0005855	chr19	-	16198836	16199930	-3.60382801520139	0.00753722748041617	0.473751592106166
hsa_circRNA_100130	hsa_circ_0011245	chr1	-	31447497	31454252	-2.63336517584664	0.0481560197143401	0.473751592106166
hsa_circRNA_103193	hsa_circ_0008044	chr22	-	29682911	29683123	-2.05902222626884	0.0442351814616984	0.473751592106166
